# Zscore cut: >= 1.65 
# Gene Prediction Observation 
ACY3 1.256309 2.021413
ANP32E 1.519972 2.307197
ANXA5 1.073785 2.077743
APOBEC3D 1.804374 1.089244
APOL6 1.389832 0.520875
ARL3 1.763296 1.044753
ARRDC5 1.310944 0.319119
ATP5L 1.283853 2.767017
BPNT1 1.502652 2.323328
C1QTNF6 1.219528 0.323518
CALM2 1.864382 2.85949
CAPN3 1.584048 0.709847
CCDC102A 2.171249 1.407735
CCDC69 1.881278 2.646111
CD27 1.803875 2.613446
CD52 1.882798 2.978347
CR2 1.683856 2.559573
DEF8 1.78391 2.764757
DNMT3B 1.59002 0.780627
DUSP2 1.461309 2.356016
EZR 1.656173 3.015784
FAM177B 1.316965 0.429581
FANCI 1.152645 1.9127
FBXO6 1.200483 0.491203
GBP5 1.506377 0.631697
GPRASP1 1.219364 0.411091
GSTP1 1.435589 2.800708
HAUS8 2.806364 1.79638
HIST1H4L 1.778642 0.951909
HLA-DQA2 0.982105 1.861494
HMGN1 2.118123 2.980589
HSP90AA1 1.336682 2.98602
LAIR1 1.079829 0.345095
LARGE2 1.811712 0.757498
LDHB 1.46473 2.821046
LMO2 1.605677 2.657961
LOC645177 1.891449 1.0659
LOXL2 1.145452 2.024729
LRCH3 2.464046 1.705634
LRRK2 1.607279 0.885978
MARCKSL1 1.818188 3.1105
MOB3B 1.099936 0.374829
MYO1F 1.264276 0.510774
NANS 1.666398 2.540586
NRROS 1.157551 0.393106
NUGGC 1.600566 2.349467
OVGP1 1.172036 0.424983
P2RX1 1.307718 0.587241
