Gene	Observed	Predicted	Residual
A4GALT	1.791537	1.61396	0.177577
AACS	1.457519	1.231187	0.226332
ABCA2	0.527782	0.768549	-0.240767
ACADM	2.14404	1.529937	0.614103
ACOT7	1.51114	1.668641	-0.1575
ACP2	1.387545	1.388183	-0.000638
ACP5	1.560573	1.556535	0.004038
ACTL6A	1.902639	1.488419	0.41422
ACY3	2.021413	1.256309	0.765105
ACYP2	1.639319	1.356379	0.28294
ADAM8	1.209482	1.52678	-0.317297
ADGRG5	2.080306	2.184079	-0.103773
ADPRH	1.600576	1.435103	0.165473
ADRB2	0.712141	1.164402	-0.45226
AFF2	1.693509	1.63361	0.059899
AGTRAP	1.009528	1.285167	-0.275639
AICDA	2.245835	1.80965	0.436185
AIM1	1.779308	1.953515	-0.174206
AIMP2	1.624774	1.528458	0.096317
ALDH2	2.065193	2.271247	-0.206054
ALDH7A1	0.858953	1.299931	-0.440978
ANGPTL6	1.48685	1.950936	-0.464086
ANK1	1.267044	0.959898	0.307146
ANKRD13A	2.558095	2.751674	-0.19358
ANKRD34B	0.704619	0.191003	0.513616
ANO9	0.984526	1.055023	-0.070496
ANP32E	2.307197	1.519972	0.787225
ANTXR2	0.310763	0.546292	-0.235528
ANXA2R	1.411148	1.445793	-0.034645
ANXA5	2.077743	1.073785	1.003958
ANXA6	2.09208	1.392637	0.699443
AP1S2	0.923618	1.229078	-0.30546
APBB2	1.017043	0.730698	0.286345
APOBEC3C	2.109999	1.564686	0.545313
APOBEC3D	1.089244	1.804374	-0.71513
APOBEC3F	1.019187	1.410123	-0.390936
APOL6	0.520875	1.389832	-0.868957
AQP3	0.855271	1.158142	-0.302871
ARHGAP10	0.818783	1.028955	-0.210172
ARHGAP11A	1.717335	1.309963	0.407372
ARHGAP8	0.458966	0.898978	-0.440012
ARHGEF3	0.630208	0.884824	-0.254616
ARHGEF37	0.791426	1.460675	-0.669249
ARL3	1.044753	1.763296	-0.718543
ARL4C	0.550258	0.718264	-0.168006
ARRDC4	1.144912	1.179657	-0.034744
ARRDC5	0.319119	1.310944	-0.991826
ASAH1	1.169622	1.303057	-0.133434
ASAP1	1.708621	1.27675	0.431871
ASAP3	1.329515	1.368114	-0.038599
ASB2	1.619853	1.800669	-0.180816
ASF1B	2.065045	1.953576	0.111469
ASRGL1	1.111497	1.401431	-0.289934
ATAD2	1.762877	1.635818	0.127059
ATP1B3	1.855978	1.444486	0.411491
ATP5L	2.767017	1.283853	1.483163
ATP6V0A1	1.365613	1.517859	-0.152246
B3GALNT1	0.979004	1.286765	-0.307761
BACH2	2.223977	2.390205	-0.166227
BAG3	1.272429	1.209169	0.063259
BAIAP2L1	1.440525	1.139477	0.301048
BARD1	1.432303	1.608937	-0.176634
BCAR3	1.884012	1.617684	0.266327
BCAS4	2.530358	2.381792	0.148566
BCAT1	1.518083	1.579876	-0.061793
BCL2	0.552279	0.824761	-0.272483
BCL2A1	2.184482	1.846354	0.338127
BCL2L11	1.815602	1.204204	0.611398
BCL2L12	1.691671	1.396698	0.294973
BCL6	2.616386	2.233992	0.382394
BCL7A	2.357309	2.23371	0.123599
BCL9L	0.876106	1.294952	-0.418847
BEX3	1.092099	1.310745	-0.218646
BEX4	1.351069	1.288832	0.062237
BHLHE40	0.667804	1.09449	-0.426686
BMP7	1.373566	0.833358	0.540208
BNIP3	1.570705	1.106332	0.464373
BORCS8	2.866613	2.278914	0.587699
BORCS8-MEF2B	2.866613	2.278914	0.587699
BPNT1	2.323328	1.502652	0.820676
BRWD1	1.927811	1.95434	-0.026529
BTG3	1.578204	1.468177	0.110027
BTN3A1	1.14997	1.465911	-0.315941
BTN3A3	0.990487	1.213268	-0.222782
BUB1B	1.88615	1.920439	-0.03429
BUB1B-PAK6	1.88615	1.353553	0.532597
C12orf74	0.96871	1.408629	-0.439919
C12orf75	2.076243	1.523393	0.55285
C17orf53	0.945137	1.455303	-0.510166
C17orf58	1.012669	1.074777	-0.062108
C1QTNF6	0.323518	1.219528	-0.89601
C21orf58	1.411496	1.744721	-0.333225
C2orf88	1.278779	1.213009	0.06577
C3orf14	0.829353	1.197785	-0.368431
C3orf20	0.721694	1.256736	-0.535042
C5orf56	1.061663	1.748026	-0.686364
CADM1	1.200178	0.68322	0.516959
CADPS	1.222567	1.209034	0.013533
CALM2	2.85949	1.864382	0.995108
