# Zscore cut: >= 1.96 
# Gene Prediction Observation 
ACY3 1.228907 2.021413
ANP32E 1.442806 2.307197
ANXA5 1.321952 2.077743
ARRDC5 1.191143 0.319119
BPNT1 1.445256 2.323328
CALM2 1.894064 2.85949
CAPN3 1.469021 0.709847
CCDC69 1.878579 2.646111
CD27 1.848137 2.613446
CR2 1.625659 2.559573
DEF8 1.793214 2.764757
DSTN 1.30424 2.088948
DUSP2 1.543478 2.356016
EML6 1.32577 2.079995
FAM177B 1.327692 0.429581
FANCI 1.132336 1.9127
FYTTD1 1.253703 2.009357
HIST1H4L 1.699628 0.951909
HLA-DQA2 1.10955 1.861494
HMGN1 2.091459 2.980589
LRCH3 2.475497 1.705634
NANS 1.744911 2.540586
NUGGC 1.594292 2.349467
