Gene	Observed	Predicted	Residual
A4GALT	1.791537	1.667734	0.123804
AACS	1.457519	1.201002	0.256517
ABCA2	0.527782	0.699865	-0.172083
ACADM	2.14404	2.000678	0.143362
ACOT7	1.51114	1.672675	-0.161535
ACP2	1.387545	1.29399	0.093556
ACP5	1.560573	1.558106	0.002466
ACTL6A	1.902639	1.360124	0.542515
ACY3	2.021413	1.228907	0.792506
ACYP2	1.639319	1.44342	0.195899
ADAM8	1.209482	1.406931	-0.197449
ADGRG5	2.080306	1.987333	0.092973
ADPRH	1.600576	1.303852	0.296724
ADRB2	0.712141	0.951187	-0.239046
AFF2	1.693509	1.601006	0.092502
AGTRAP	1.009528	1.285822	-0.276294
AICDA	2.245835	1.758624	0.487211
AIM1	1.779308	1.828519	-0.049211
AIMP2	1.624774	1.568324	0.056451
ALDH2	2.065193	2.214571	-0.149378
ALDH7A1	0.858953	1.234652	-0.3757
ANGPTL6	1.48685	1.926949	-0.440099
ANK1	1.267044	0.807134	0.459909
ANKRD13A	2.558095	2.945836	-0.387741
ANKRD34B	0.704619	0.106601	0.598018
ANO9	0.984526	1.014691	-0.030165
ANP32E	2.307197	1.442806	0.864391
ANTXR2	0.310763	0.547135	-0.236372
ANXA2R	1.411148	1.547045	-0.135896
ANXA5	2.077743	1.321952	0.755791
ANXA6	2.09208	1.417276	0.674804
AP1S2	0.923618	1.40643	-0.482812
APBB2	1.017043	0.760838	0.256206
APOBEC3C	2.109999	1.58425	0.525749
APOBEC3D	1.089244	1.633252	-0.544007
APOBEC3F	1.019187	1.278335	-0.259147
APOL6	0.520875	1.244825	-0.72395
AQP3	0.855271	1.032629	-0.177358
ARHGAP10	0.818783	0.969368	-0.150585
ARHGAP11A	1.717335	1.242761	0.474574
ARHGAP8	0.458966	0.761324	-0.302358
ARHGEF3	0.630208	0.840733	-0.210525
ARHGEF37	0.791426	1.433573	-0.642147
ARL3	1.044753	1.763987	-0.719235
ARL4C	0.550258	0.775173	-0.224915
ARRDC4	1.144912	1.154562	-0.00965
ARRDC5	0.319119	1.191143	-0.872024
ASAH1	1.169622	1.406639	-0.237017
ASAP1	1.708621	1.222787	0.485834
ASAP3	1.329515	1.221457	0.108059
ASB2	1.619853	1.832388	-0.212535
ASF1B	2.065045	1.74944	0.315605
ASRGL1	1.111497	1.34044	-0.228943
ATAD2	1.762877	1.585876	0.177001
ATP1B3	1.855978	1.321137	0.534841
ATP6V0A1	1.365613	1.517228	-0.151615
B3GALNT1	0.979004	1.158995	-0.179991
BACH2	2.223977	2.382165	-0.158188
BAG3	1.272429	1.138773	0.133656
BAIAP2L1	1.440525	1.323047	0.117478
BARD1	1.432303	1.648323	-0.21602
BCAR3	1.884012	1.674342	0.20967
BCAS4	2.530358	2.487684	0.042675
BCAT1	1.518083	1.501737	0.016346
BCL2	0.552279	0.902958	-0.350679
BCL2A1	2.184482	1.840885	0.343597
BCL2L11	1.815602	1.169762	0.645839
BCL2L12	1.691671	1.351077	0.340594
BCL6	2.616386	2.283286	0.3331
BCL7A	2.357309	2.125529	0.23178
BCL9L	0.876106	1.310102	-0.433996
BEX3	1.092099	1.409141	-0.317042
BEX4	1.351069	1.289243	0.061826
BHLHE40	0.667804	1.154601	-0.486797
BMP7	1.373566	1.16012	0.213446
BNIP3	1.570705	1.142691	0.428015
BORCS8	2.866613	2.239582	0.62703
BORCS8-MEF2B	2.866613	2.239582	0.62703
BPNT1	2.323328	1.445256	0.878072
BRWD1	1.927811	2.045575	-0.117765
BTG3	1.578204	1.487002	0.091202
BTN3A1	1.14997	1.364427	-0.214456
BTN3A3	0.990487	1.074218	-0.083731
BUB1B	1.88615	2.061518	-0.175368
BUB1B-PAK6	1.88615	1.309089	0.577061
C12orf74	0.96871	1.232813	-0.264103
C12orf75	2.076243	1.551565	0.524678
C17orf53	0.945137	1.440116	-0.494979
C17orf58	1.012669	1.260726	-0.248057
C21orf58	1.411496	1.964706	-0.55321
C2orf88	1.278779	1.293986	-0.015207
C3orf14	0.829353	1.261637	-0.432284
C3orf20	0.721694	1.233526	-0.511832
C5orf56	1.061663	1.446562	-0.3849
CADM1	1.200178	0.708853	0.491326
CADPS	1.222567	1.187776	0.03479
CALM2	2.85949	1.894064	0.965426
CAMK1	2.062334	1.518256	0.544077
CAMK1D	0.682752	1.251179	-0.568427
CAMK2B	1.194042	1.544464	-0.350422
CAMP	1.594333	1.396943	0.19739
CAPN12	0.469885	0.770935	-0.30105
CAPN2	0.68542	0.688252	-0.002832
CAPN3	0.709847	1.469021	-0.759173
CAPRIN2	0.908191	1.168945	-0.260754
CARHSP1	1.922264	1.530699	0.391566
CASP3	1.905009	1.605335	0.299674
CBX5	1.922554	1.909973	0.012581
CBX8	1.07072	1.234575	-0.163855
CCDC102A	1.407735	2.141206	-0.733471
CCDC107	1.401667	1.99254	-0.590873
CCDC34	1.189482	1.131187	0.058295
CCDC69	2.646111	1.878579	0.767533
CCDC88A	1.959797	1.665895	0.293901
CCDC88B	1.668498	1.972402	-0.303904
CCNA2	2.017216	1.390081	0.627134
CCND2	0.398494	0.725265	-0.326772
CCNF	1.681901	1.39987	0.282031
CCR7	0.576576	1.136342	-0.559766
CD1A	0.944537	1.141462	-0.196925
CD27	2.613446	1.848137	0.76531
CD3D	0.718512	0.805264	-0.086753
CD5	0.394579	1.07839	-0.683811
CD55	1.384108	1.260926	0.123183
CD6	0.529728	0.917442	-0.387714
CD86	1.784436	1.538859	0.245578
CD9	1.507849	1.318277	0.189572
CDC20	2.300971	2.218514	0.082457
CDC25A	1.348244	1.64195	-0.293706
CDC6	1.603078	1.323832	0.279246
CDC7	1.526517	1.33482	0.191698
CDCA2	1.524137	1.892154	-0.368017
CDCA7	2.459919	2.423499	0.03642
CDIP1	0.713201	0.799656	-0.086454
CDK1	2.208467	2.122042	0.086425
CDK19	1.591079	1.922341	-0.331262
CDKN1A	0.737772	1.070241	-0.332468
CDT1	1.753978	2.029659	-0.275681
CDYL2	1.065761	1.44936	-0.383598
CEBPB	0.648149	1.193063	-0.544914
CELF2	1.010106	1.076849	-0.066743
CEMP1	0.925182	1.481205	-0.556024
CENPH	1.729773	1.461576	0.268197
CENPM	2.155497	2.057508	0.097989
CEP55	1.772703	1.366654	0.40605
CETN3	1.574971	1.512659	0.062312
CFAP20	1.910335	1.47576	0.434574
CHAMP1	1.714125	1.613511	0.100614
CHD1	1.149662	1.430081	-0.280418
CHDH	0.940554	1.2784	-0.337846
CHIC2	1.765237	1.579271	0.185966
CHPT1	0.856668	0.81097	0.045698
CHST11	1.227713	0.803136	0.424577
CIT	1.104402	1.395002	-0.2906
CKAP2L	1.419892	1.41231	0.007583
CKB	0.82041	1.241605	-0.421195
CKS1B	1.711214	2.321393	-0.610179
CLCN7	1.483351	1.86465	-0.381299
CLEC17A	1.931477	1.504177	0.4273
CLIC4	2.404626	2.600515	-0.195889
CLIP2	1.645728	1.258837	0.386892
CLSPN	1.167441	1.20998	-0.042538
CMC1	1.586375	1.255944	0.330431
CNFN	0.572702	0.857385	-0.284683
COL9A3	1.233448	1.309128	-0.07568
CORO1B	1.67149	1.962227	-0.290737
CPM	1.490966	1.224279	0.266687
CPNE2	0.77007	0.824255	-0.054185
CPSF3	1.897426	1.817381	0.080045
CPXM1	1.291129	1.386976	-0.095847
CR2	2.559573	1.625659	0.933914
CREB3L2	0.559412	0.961531	-0.402119
CRHBP	1.061556	0.891822	0.169734
CRNDE	0.936915	1.034154	-0.097239
CSE1L	1.87592	2.19949	-0.323569
CSF2RB	1.904995	1.44523	0.459765
CSRP1	1.758487	1.441726	0.316762
CTC1	1.217275	1.423783	-0.206508
CTPS1	1.580515	1.763184	-0.182669
CTSH	2.636001	1.989184	0.646817
CTSS	1.928468	1.574965	0.353503
CTTN	1.197707	1.326226	-0.128519
CUX1	1.981809	1.566998	0.41481
CYS1	1.124376	1.204249	-0.079873
DARS2	1.506838	1.657084	-0.150246
DDX60L	0.450822	1.0202	-0.569378
DEF6	1.782369	1.636304	0.146064
DEF8	2.764757	1.793214	0.971543
DENND6B	1.438912	1.394436	0.044476
DEPDC1B	1.580737	1.163695	0.417042
DEPDC5	1.479276	1.629825	-0.150549
DGAT1	1.185527	0.999832	0.185695
DLGAP5	1.784673	1.185332	0.599341
DMXL2	0.846262	1.147309	-0.301047
DNMBP	1.412205	1.350402	0.061803
DNMT1	2.370663	2.815647	-0.444984
DNMT3B	0.780627	1.4686	-0.687973
DOCK9	1.325368	1.515196	-0.189828
DPEP2	1.137836	1.367702	-0.229866
DPYD	0.735995	1.077509	-0.341513
DSCC1	1.367877	1.493908	-0.126031
DSE	0.80731	0.852951	-0.04564
DSTN	2.088948	1.30424	0.784708
