# Zscore cut: >= 1.96 
# Gene Prediction Observation 
ACY3 1.215521 2.021413
ANP32E 1.458478 2.307197
ANXA5 1.191865 2.077743
APOL6 1.402793 0.520875
ARRDC5 1.191686 0.319119
BPNT1 1.481251 2.323328
CALM2 2.025058 2.85949
CAPN3 1.542505 0.709847
CCDC69 1.834785 2.646111
CD27 1.747464 2.613446
CD52 1.860912 2.978347
CR2 1.558905 2.559573
DEF8 1.807391 2.764757
DUSP2 1.468268 2.356016
FYTTD1 1.217487 2.009357
GBP5 1.449554 0.631697
HAUS8 2.801957 1.79638
HIST1H4L 1.745424 0.951909
HLA-DQA2 1.039072 1.861494
HMGN1 2.12999 2.980589
LARGE2 1.823641 0.757498
LMO2 1.584072 2.657961
LOC645177 2.096974 1.0659
LOXL2 1.192087 2.024729
MYB 1.604802 0.806025
NANS 1.604028 2.540586
NUGGC 1.45202 2.349467
