Gene	Observed	Predicted	Residual
A4GALT	1.791537	1.57308	0.218457
AACS	1.457519	1.255929	0.201591
ABCA2	0.527782	0.762624	-0.234842
ACADM	2.14404	1.728455	0.415586
ACOT7	1.51114	1.708766	-0.197625
ACP2	1.387545	1.391671	-0.004126
ACP5	1.560573	1.530061	0.030512
ACTL6A	1.902639	1.474564	0.428075
ACY3	2.021413	1.215521	0.805892
ACYP2	1.639319	1.354835	0.284484
ADAM8	1.209482	1.384258	-0.174776
ADGRG5	2.080306	1.966988	0.113318
ADPRH	1.600576	1.396283	0.204293
ADRB2	0.712141	1.109714	-0.397573
AFF2	1.693509	1.662342	0.031167
AGTRAP	1.009528	1.112424	-0.102896
AICDA	2.245835	1.831618	0.414217
AIM1	1.779308	1.911924	-0.132615
AIMP2	1.624774	1.487483	0.137292
ALDH2	2.065193	2.144874	-0.079682
ALDH7A1	0.858953	1.208463	-0.34951
ANGPTL6	1.48685	1.782881	-0.296031
ANK1	1.267044	0.869788	0.397256
ANKRD13A	2.558095	2.78124	-0.223145
ANKRD34B	0.704619	0.198835	0.505784
ANO9	0.984526	0.951789	0.032738
ANP32E	2.307197	1.458478	0.848719
ANTXR2	0.310763	0.604733	-0.29397
ANXA2R	1.411148	1.486835	-0.075686
ANXA5	2.077743	1.191865	0.885878
ANXA6	2.09208	1.392802	0.699278
AP1S2	0.923618	1.273583	-0.349965
APBB2	1.017043	0.74261	0.274433
APOBEC3C	2.109999	1.688831	0.421168
APOBEC3D	1.089244	1.752903	-0.663659
APOBEC3F	1.019187	1.312593	-0.293406
APOL6	0.520875	1.402793	-0.881918
AQP3	0.855271	1.118555	-0.263283
ARHGAP10	0.818783	1.042715	-0.223933
ARHGAP11A	1.717335	1.322385	0.39495
ARHGAP8	0.458966	0.870231	-0.411265
ARHGEF3	0.630208	0.899167	-0.268959
ARHGEF37	0.791426	1.434088	-0.642662
ARL3	1.044753	1.740845	-0.696093
ARL4C	0.550258	0.852823	-0.302565
ARRDC4	1.144912	1.165058	-0.020145
ARRDC5	0.319119	1.191686	-0.872567
ASAH1	1.169622	1.28304	-0.113417
ASAP1	1.708621	1.212052	0.496569
ASAP3	1.329515	1.324119	0.005397
ASB2	1.619853	1.879384	-0.259531
ASF1B	2.065045	1.842706	0.222339
ASRGL1	1.111497	1.176638	-0.065141
ATAD2	1.762877	1.515963	0.246914
ATP1B3	1.855978	1.38226	0.473718
ATP6V0A1	1.365613	1.533464	-0.167851
B3GALNT1	0.979004	1.150843	-0.171839
BACH2	2.223977	2.349748	-0.12577
BAG3	1.272429	1.220972	0.051457
BAIAP2L1	1.440525	1.271405	0.16912
BARD1	1.432303	1.637126	-0.204823
BCAR3	1.884012	1.689968	0.194043
BCAS4	2.530358	2.35182	0.178538
BCAT1	1.518083	1.655262	-0.137179
BCL2	0.552279	0.928091	-0.375812
BCL2A1	2.184482	1.749316	0.435166
BCL2L11	1.815602	1.205743	0.609858
BCL2L12	1.691671	1.347476	0.344195
BCL6	2.616386	2.351058	0.265328
BCL7A	2.357309	2.224541	0.132768
BCL9L	0.876106	1.326005	-0.449899
BEX3	1.092099	1.265205	-0.173105
BEX4	1.351069	1.306481	0.044588
BHLHE40	0.667804	1.072156	-0.404352
BMP7	1.373566	0.853983	0.519583
BNIP3	1.570705	1.132134	0.438572
BORCS8	2.866613	2.268123	0.59849
BORCS8-MEF2B	2.866613	2.268123	0.59849
BPNT1	2.323328	1.481251	0.842077
BRWD1	1.927811	2.033624	-0.105813
BTG3	1.578204	1.355216	0.222988
BTN3A1	1.14997	1.443982	-0.294011
BTN3A3	0.990487	1.263121	-0.272635
BUB1B	1.88615	1.938617	-0.052467
BUB1B-PAK6	1.88615	1.294117	0.592032
C12orf74	0.96871	1.194192	-0.225482
C12orf75	2.076243	1.626872	0.449371
C17orf53	0.945137	1.470257	-0.52512
C17orf58	1.012669	1.185679	-0.17301
C1QTNF6	0.323518	0.822817	-0.499299
C21orf58	1.411496	1.84232	-0.430824
C2orf88	1.278779	1.146366	0.132413
C3orf14	0.829353	1.19804	-0.368687
C3orf20	0.721694	1.200647	-0.478953
C5orf56	1.061663	1.766498	-0.704835
CADM1	1.200178	0.722418	0.47776
CADPS	1.222567	1.247745	-0.025178
CALM2	2.85949	2.025058	0.834431
CAMK1	2.062334	1.44862	0.613713
CAMK1D	0.682752	1.291738	-0.608986
CAMK2B	1.194042	1.507602	-0.31356
CAMP	1.594333	1.423809	0.170523
CAPN12	0.469885	0.908554	-0.438669
CAPN2	0.68542	0.687445	-0.002025
CAPN3	0.709847	1.542505	-0.832658
CAPRIN2	0.908191	1.285628	-0.377437
CARHSP1	1.922264	1.448481	0.473783
CASP3	1.905009	1.631051	0.273957
CBX5	1.922554	1.939207	-0.016653
CBX8	1.07072	1.334933	-0.264213
CCDC102A	1.407735	2.037528	-0.629793
CCDC107	1.401667	2.052757	-0.65109
CCDC34	1.189482	1.089324	0.100158
CCDC69	2.646111	1.834785	0.811326
CCDC88A	1.959797	1.510881	0.448915
CCDC88B	1.668498	1.797523	-0.129025
CCNA2	2.017216	1.380867	0.636348
CCND2	0.398494	0.819802	-0.421308
CCNF	1.681901	1.490616	0.191284
CCR7	0.576576	1.018133	-0.441557
CD1A	0.944537	1.277995	-0.333458
CD27	2.613446	1.747464	0.865982
CD3D	0.718512	0.923651	-0.205139
CD5	0.394579	0.946497	-0.551918
CD52	2.978347	1.860912	1.117435
CD55	1.384108	1.315624	0.068485
CD6	0.529728	0.860307	-0.330579
CD86	1.784436	1.406477	0.37796
CD9	1.507849	1.141398	0.366452
CDC20	2.300971	2.145838	0.155133
CDC25A	1.348244	1.406505	-0.058261
CDC6	1.603078	1.48704	0.116038
CDC7	1.526517	1.410981	0.115536
CDCA2	1.524137	1.939727	-0.41559
CDCA7	2.459919	2.18049	0.279429
CDIP1	0.713201	0.838238	-0.125036
CDK1	2.208467	1.917308	0.291159
CDK19	1.591079	1.86177	-0.270691
CDKN1A	0.737772	1.049658	-0.311886
CDT1	1.753978	2.068626	-0.314648
CDYL2	1.065761	1.494452	-0.42869
CEBPB	0.648149	1.19086	-0.54271
CELF2	1.010106	1.032371	-0.022265
CEMP1	0.925182	1.461484	-0.536303
CENPH	1.729773	1.529378	0.200395
CENPM	2.155497	1.851974	0.303523
CEP55	1.772703	1.512227	0.260476
CETN3	1.574971	1.650457	-0.075486
CFAP20	1.910335	1.553103	0.357232
CHAMP1	1.714125	1.485532	0.228593
CHD1	1.149662	1.351158	-0.201496
CHDH	0.940554	1.37725	-0.436697
CHIC2	1.765237	1.578902	0.186335
CHPT1	0.856668	0.869573	-0.012905
CHST11	1.227713	0.964178	0.263535
CIT	1.104402	1.407402	-0.302999
