# Zscore cut: >= 1.96 
# Gene Prediction Observation 
ANP32E 1.451711 2.307197
ANXA5 1.225904 2.077743
APOL6 1.340216 0.520875
ARRDC5 1.14819 0.319119
BPNT1 1.49083 2.323328
C1QTNF6 1.32024 0.323518
CALM2 1.880503 2.85949
CAPN3 1.528423 0.709847
CCDC69 1.758014 2.646111
CD27 1.846905 2.613446
CR2 1.619285 2.559573
DEF8 1.786574 2.764757
DUSP2 1.459891 2.356016
EML6 1.310232 2.079995
FAM177B 1.398614 0.429581
FYTTD1 1.15498 2.009357
GBP5 1.434726 0.631697
HAUS8 2.90744 1.79638
HMGN1 2.141476 2.980589
LOXL2 1.261514 2.024729
NANS 1.697396 2.540586
