Gene	Observed	Predicted	Residual
A4GALT	1.791537	1.619553	0.171984
AACS	1.457519	1.177096	0.280423
ABCA2	0.527782	0.722542	-0.19476
ACADM	2.14404	1.713103	0.430937
ACOT7	1.51114	1.640279	-0.129138
ACP2	1.387545	1.385947	0.001599
ACP5	1.560573	1.56862	-0.008048
ACTL6A	1.902639	1.416228	0.486411
ACY3	2.021413	1.286593	0.73482
ACYP2	1.639319	1.407325	0.231994
ADAM8	1.209482	1.428153	-0.218671
ADGRG5	2.080306	1.978865	0.101441
ADPRH	1.600576	1.318485	0.282091
ADRB2	0.712141	0.990328	-0.278187
AFF2	1.693509	1.600436	0.093072
AGTRAP	1.009528	1.24366	-0.234132
AICDA	2.245835	1.726998	0.518837
AIM1	1.779308	1.855602	-0.076294
AIMP2	1.624774	1.496474	0.128301
ALDH2	2.065193	2.196242	-0.131049
ALDH7A1	0.858953	1.193264	-0.334311
ANGPTL6	1.48685	1.854378	-0.367528
ANK1	1.267044	0.851654	0.41539
ANKRD13A	2.558095	2.776534	-0.21844
ANKRD34B	0.704619	0.152727	0.551892
ANO9	0.984526	0.996282	-0.011756
ANP32E	2.307197	1.451711	0.855486
ANTXR2	0.310763	0.57315	-0.262387
ANXA2R	1.411148	1.555128	-0.143979
ANXA5	2.077743	1.225904	0.851839
ANXA6	2.09208	1.385722	0.706358
AP1S2	0.923618	1.37	-0.446382
APBB2	1.017043	0.82212	0.194924
APOBEC3C	2.109999	1.670014	0.439985
APOBEC3D	1.089244	1.632068	-0.542824
APOBEC3F	1.019187	1.347501	-0.328314
APOL6	0.520875	1.340216	-0.819341
AQP3	0.855271	1.023962	-0.168691
ARHGAP10	0.818783	0.879746	-0.060964
ARHGAP11A	1.717335	1.309544	0.407791
ARHGAP8	0.458966	0.892548	-0.433583
ARHGEF3	0.630208	0.877993	-0.247785
ARHGEF37	0.791426	1.45703	-0.665604
ARL3	1.044753	1.710794	-0.666041
ARL4C	0.550258	0.881354	-0.331097
ARRDC4	1.144912	1.152914	-0.008002
ARRDC5	0.319119	1.14819	-0.829072
ASAH1	1.169622	1.299397	-0.129774
ASAP1	1.708621	1.166206	0.542415
ASAP3	1.329515	1.321799	0.007716
ASB2	1.619853	1.789022	-0.169169
ASF1B	2.065045	1.812626	0.252419
ASRGL1	1.111497	1.28241	-0.170913
ATAD2	1.762877	1.598478	0.164399
ATP1B3	1.855978	1.413996	0.441981
ATP6V0A1	1.365613	1.472514	-0.1069
B3GALNT1	0.979004	1.199697	-0.220693
BACH2	2.223977	2.325653	-0.101675
BAG3	1.272429	1.17687	0.095559
BAIAP2L1	1.440525	1.28783	0.152694
BARD1	1.432303	1.641028	-0.208725
BCAR3	1.884012	1.734014	0.149997
BCAS4	2.530358	2.409893	0.120465
BCAT1	1.518083	1.528497	-0.010414
BCL2	0.552279	0.902732	-0.350453
BCL2A1	2.184482	1.791394	0.393088
BCL2L11	1.815602	1.205405	0.610197
BCL2L12	1.691671	1.296212	0.395459
BCL6	2.616386	2.248239	0.368147
BCL7A	2.357309	2.151768	0.205541
BCL9L	0.876106	1.25849	-0.382384
BEX3	1.092099	1.364638	-0.272538
BEX4	1.351069	1.263614	0.087454
BHLHE40	0.667804	1.09334	-0.425536
BMP7	1.373566	1.055243	0.318323
BNIP3	1.570705	1.088462	0.482243
BORCS8	2.866613	2.232956	0.633657
BORCS8-MEF2B	2.866613	2.232956	0.633657
BPNT1	2.323328	1.49083	0.832498
BRWD1	1.927811	2.030114	-0.102303
BTG3	1.578204	1.460394	0.117809
BTN3A1	1.14997	1.372705	-0.222735
BTN3A3	0.990487	1.090611	-0.100124
BUB1B	1.88615	2.043784	-0.157634
BUB1B-PAK6	1.88615	1.294046	0.592103
C12orf74	0.96871	1.236363	-0.267654
C12orf75	2.076243	1.565646	0.510598
C17orf53	0.945137	1.393298	-0.448161
C17orf58	1.012669	1.250666	-0.237997
C1QTNF6	0.323518	1.32024	-0.996722
C21orf58	1.411496	1.881026	-0.469529
C2orf88	1.278779	1.245477	0.033302
C3orf14	0.829353	1.205204	-0.37585
C3orf20	0.721694	1.170705	-0.449012
C5orf56	1.061663	1.644479	-0.582816
CADM1	1.200178	0.749353	0.450825
