# 500 genes x 100 features
# gene_name[tab]expression[tab]f1[space]f2[space]f3[space]f4...
# 
# ITEM: TFBS1 TFBS2 TFBS3 TFBS4 TFBS5 TFBS6 TFBS7 TFBS8 TFBS9 TFBS10 TFBS11 TFBS12 TFBS13 TFBS14 TFBS15 TFBS16 TFBS17 TFBS18 TFBS19 TFBS20 TFBS21 TFBS22 TFBS23 TFBS24 TFBS25 TFBS26 TFBS27 TFBS28 TFBS29 TFBS30 TFBS31 TFBS32 TFBS33 TFBS34 TFBS35 TFBS36 TFBS37 TFBS38 TFBS39 TFBS40 TFBS41 TFBS42 TFBS43 TFBS44 TFBS45 TFBS46 TFBS47 TFBS48 TFBS49 TFBS50 TFBS51 TFBS52 TFBS53 TFBS54 TFBS55 TFBS56 TFBS57 TFBS58 TFBS59 TFBS60 TFBS61 TFBS62 TFBS63 TFBS64 TFBS65 TFBS66 TFBS67 TFBS68 TFBS69 TFBS70 TFBS71 TFBS72 TFBS73 TFBS74 TFBS75 TFBS76 TFBS77 TFBS78 TFBS79 TFBS80 TFBS81 TFBS82 TFBS83 TFBS84 TFBS85 TFBS86 TFBS87 TFBS88 TFBS89 TFBS90 TFBS91 TFBS92 TFBS93 TFBS94 TFBS95 TFBS96 TFBS97 TFBS98 TFBS99 TFBS100
A4GALT	60.87817	0.352571 0.0 0.383973 0.0 0.0 0.0 0.0 0.0 0.0 0.738290 0.0 0.0 0.0 0.0 0.887388 0.0 0.078905 0.0 0.0 0.0 0.0 0.0 0.275838 0.0 0.0 0.0 0.265048 0.0 0.0 0.0 1.329200 0.0 0.0 0.498499 1.730442 3.833206 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.081208 0.0 0.338604 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.365685 0.0 0.0 0.0 0.0 0.100268 0.121182 1.522096 0.0 0.0 0.171084 0.0 0.564352 0.0 0.446094 0.0 1.407280 0.0 0.205897 0.0 7.281764 3.853018 4.363108 5.580302 8.348066 0.000000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
AACS	27.67604	0.069317 0.0 0.0 0.438415 0.0 0.0 0.0 0.0 0.0 1.001110 0.0 0.0 0.0 1.559710 0.020793 0.0 0.033861 0.0 0.0 0.0 0.0 0.0 0.423757 0.0 0.0 0.014300 0.678464 0.0 0.0 0.0 1.879777 0.0 0.261521 0.427347 1.545068 1.096792 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.107156 0.0 0.0 0.362441 0.0 1.133847 0.0 0.0 0.937635 0.0 0.443810 0.0 0.0 3.375123 0.0 0.0 0.385850 0.0 0.0 0.0 2.833349 0.0 0.0 0.0 0.0 0.0 0.0 0.155390 0.0 0.958327 0.0 0.0 0.0 5.180339 4.263380 2.758580 5.064426 7.672397 3.279798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ABCA2	2.37118	1.038929 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.669602 0.0 0.182182 0.217424 0.0 0.031381 1.482551 0.0 12.587525 0.0 0.0 0.0 0.0 0.0 0.0 1.078299 0.0 0.0 0.0 0.0 0.0 0.0 0.229844 1.225068 1.207158 0.418468 0.0 0.0 1.523482 0.0 0.0 0.0 1.298444 0.0 0.0 0.553723 0.0 1.009976 0.0 0.0 0.662322 0.0 0.0 0.0 0.0 1.712364 0.0 0.0 0.097449 0.0 0.818727 0.0 0.0 0.0 0.588651 1.107402 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.183949 4.844978 0.000000 5.153112 7.812902 3.188258 1.865445 0.119198 0.569324 1.945784 0.243877 0.109204 0.814621 0.0 0.210631 1.666606 0.066644 0.460632 0.0 7.840403 1.657981 0.0 0.569275 2.374913
ACADM	138.32857	0.262475 0.0 0.0 0.261753 0.0 0.199851 1.475429 0.0 0.0 0.390908 0.0 0.0 0.0 0.0 0.453141 0.0 0.248569 0.0 0.0 7.247231 0.0 0.0 1.808172 0.0 0.0 0.013026 0.149839 0.0 0.0 0.0 2.939875 0.0 0.132821 0.483577 0.343019 0.277810 0.633642 0.0 0.0 3.135451 0.0 0.0 0.0 0.222428 0.0 0.0 0.0 0.032159 0.744561 0.0 0.0 0.185869 0.197588 0.0 0.0 0.0 2.162877 0.0 0.0 0.0 0.989754 0.873626 0.0 1.761172 0.0 0.392483 0.473597 0.0 0.936067 0.0 0.468981 0.0 1.025368 0.0 0.070292 0.936031 6.983260 3.271769 1.838911 4.300343 8.165160 0.000000 0.0 0.0 1.120365 5.982007 0.0 0.406360 1.480982 0.0 0.0 0.0 1.331912 0.0 0.0 0.321561 1.802923 0.0 0.468557 0.429876
ACOT7	31.44445	1.494229 0.0 0.0 0.229071 0.0 0.0 0.0 0.0 0.0 0.160816 0.0 0.0 0.0 1.880130 0.280601 0.0 0.054110 0.0 4.129633 5.722986 0.0 0.0 0.0 0.0 0.934138 0.042826 0.062923 0.171504 0.0 0.0 0.457783 0.0 0.125735 0.226610 3.559586 3.674999 0.0 0.0 4.375066 0.0 2.028806 0.0 0.0 0.237197 0.0 0.0 0.551327 0.0 0.034177 0.0 0.0 0.290802 1.634061 0.0 0.0 1.133966 0.650810 0.351549 0.0 0.385850 0.0 0.0 0.0 1.840009 0.0 0.367907 0.0 4.250959 0.0 0.0 0.0 0.0 0.861218 0.0 0.192644 0.0 6.459392 2.742157 1.830499 4.500840 7.638482 1.850119 1.753771 0.185160 1.393436 1.973213 0.784920 0.156484 1.795657 0.112067 0.591777 0.896858 0.609844 0.579164 0.278658 3.450359 1.187272 0.0 0.802985 1.212816
ACP2	23.40874	0.681537 0.0 0.699675 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.416656 0.0 0.0 0.106618 0.0 2.914695 0.0 0.0 5.469852 0.784815 0.0 0.0 0.010207 0.112266 0.0 0.126677 0.0 2.793936 0.0 0.277428 0.646166 1.889657 0.588540 0.0 0.0 1.856028 2.017094 0.447998 0.0 0.0 0.0 0.0 0.0 0.933052 0.008095 0.790575 0.0 0.0 0.0 0.296471 0.0 0.557771 0.0 0.528148 4.329779 0.0 0.367382 0.193311 0.0 0.145434 0.0 0.0 0.0 0.331558 0.0 0.0 0.0 0.0 0.0 1.908428 0.738756 0.045763 0.0 6.320997 0.000000 3.397064 4.774075 8.080145 0.000000 2.084722 1.854990 2.639614 1.870369 1.298820 0.122522 1.311395 0.0 0.777286 0.831668 0.803278 0.578257 0.201306 1.207935 1.638356 0.0 1.286520 1.236624
ACP5	35.35571	0.633331 0.0 0.308828 0.068456 0.0 0.0 0.577952 0.0 0.0 0.132905 0.0 0.0 0.0 1.218183 0.462338 0.0 0.156440 0.0 0.0 0.0 0.0 0.0 0.333672 0.0 0.0 0.007780 0.254070 0.0 0.0 0.0 0.707763 0.0 0.0 0.577955 2.888894 3.821601 0.574242 0.0 3.535219 2.017094 0.261508 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.093529 0.0 0.0 0.094898 0.530341 0.573677 0.0 0.897735 1.711772 0.0 0.0 0.0 0.0 0.0 0.0 2.903019 0.0 0.0 0.0 0.0 0.624895 0.0 0.105601 0.0 1.938591 0.0 0.0 0.0 6.876022 1.876055 3.622872 5.335758 7.262672 0.000000 0.696109 0.716244 0.603832 1.279390 0.0 0.022427 2.482106 0.0 0.606009 2.932669 0.0 0.200078 0.062088 2.797831 1.354128 0.0 0.175100 1.522933
ACTL6A	78.91690	0.247514 0.0 0.294777 0.350526 0.0 0.317963 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.069205 0.0 0.0 0.067954 0.0 6.919613 0.0 2.508241 0.0 0.240165 0.0 0.0 0.011933 0.646663 0.214380 0.0 0.0 0.619750 0.0 0.236359 0.579205 1.096022 1.734831 0.0 0.0 0.0 0.0 1.906753 0.0 0.0 0.0 0.0 0.0 0.636128 0.0 1.014978 0.0 0.0 0.060647 0.755851 0.190222 0.068269 0.548505 0.650810 0.0 0.0 0.0 0.0 0.0 0.0 2.096319 0.0 0.0 0.0 0.0 1.581904 0.0 0.044569 0.0 3.771942 0.0 0.331398 0.0 5.805700 0.000000 2.717276 4.040033 8.314203 0.000000 0.664253 1.961819 1.307268 2.149432 1.543258 0.118479 2.774294 0.303948 0.398693 0.924091 0.509987 0.203564 0.151999 2.719212 1.975181 0.026885 1.427670 0.307148
ACY3	104.05418	0.864389 0.0 0.109052 0.344195 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.261896 0.0 0.0 0.0 0.0 15.952824 0.952732 0.0 0.0 0.027197 0.0 0.428761 0.0 1.886344 1.905928 0.0 0.236359 0.977225 2.636207 1.340734 0.285242 0.0 0.0 0.0 0.0 0.0 0.0 0.756254 0.0 0.0 0.175112 0.019427 0.174887 0.0 0.0 0.494560 0.093548 0.0 0.0 0.641889 0.0 0.0 0.0 0.0 0.229035 0.0 0.0 0.977573 0.0 0.0 0.115382 0.0 0.200826 0.0 0.0 0.0 1.479237 0.0 0.0 0.0 5.978900 2.685940 3.489325 6.036319 8.000173 4.533096 1.291026 0.854335 2.331283 1.791778 0.345471 0.0 0.769773 0.403620 0.182581 0.926991 0.544630 1.015374 0.051343 6.233508 1.695845 0.0 0.952148 2.677181
ACYP2	42.58317	0.172379 0.0 0.552592 0.337423 0.0 0.0 0.296588 1.229721 0.0 0.0 0.0 0.0 0.0 3.385341 0.233218 0.0 0.171111 0.360045 0.0 6.088283 0.0 0.0 1.188933 0.0 0.0 0.024635 0.254070 0.428761 0.0 0.0 2.773128 0.0 0.0 0.784720 1.300055 3.036487 0.0 0.0 1.843432 0.0 2.028806 0.0 0.0 0.563543 0.366939 0.0 0.0 0.008095 0.738560 0.0 0.0 0.159690 0.453333 0.0 0.0 0.418024 0.0 0.0 0.0 0.525793 0.123719 0.260010 0.0 0.297379 0.0 0.0 0.553568 0.0 0.402725 0.0 1.488652 0.0 1.467702 0.0 0.046715 0.0 6.039656 2.772899 3.451356 4.237373 7.918697 4.605755 0.522490 0.317509 2.044020 2.074935 0.518938 0.090372 2.161068 0.070019 0.170518 1.077082 0.059176 0.600411 0.0 0.877778 1.996301 0.0 1.441492 0.838370
